EmployeeID,EmployeeName,Department,Manager,RiskScore,RiskBand,SelectedAction,ActionStatus,ManagerComment,OutcomeStatus,OutcomeDate
EMP08964,Neha,IT,Manager_IT,73.0,High,Manager Intervention,In Progress,Reviewed by manager,,
EMP04103,Aarav,IT,Manager_IT,53.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-12-01 18:05:59.619471
EMP02767,Rahul,Engineering,Manager_Engineering,60.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP03462,Neha,Marketing,Manager_Marketing,51.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP01823,Rahul,Operations,Manager_Operations,56.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-12-28 18:05:59.623303
EMP06507,Vivaan,Marketing,Manager_Marketing,49.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP10998,Vivaan,Operations,Manager_Operations,46.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP10089,Diya,Marketing,Manager_Marketing,52.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP08440,Riya,Customer Support,Manager_Customer Support,59.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP04891,Vivaan,Marketing,Manager_Marketing,62.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-10-11 18:05:59.629075
EMP13923,Vihaan,Engineering,Manager_Engineering,51.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP13530,Vivaan,Marketing,Manager_Marketing,61.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP05484,Vihaan,HR,Manager_HR,54.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP03925,Diya,HR,Manager_HR,70.0,High,Retention Bonus,In Progress,Reviewed by manager,,
EMP01050,Rahul,Operations,Manager_Operations,77.0,High,Manager Intervention,Completed,Reviewed by manager,Improved,2025-09-17 18:05:59.634478
EMP06706,Vihaan,Customer Support,Manager_Customer Support,71.0,High,Manager Intervention,Completed,Reviewed by manager,No Change,2025-12-18 18:05:59.635521
EMP14571,Rahul,Operations,Manager_Operations,46.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP08747,Rahul,IT,Manager_IT,53.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP02605,Riya,Engineering,Manager_Engineering,53.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP14997,Vivaan,Marketing,Manager_Marketing,46.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP07671,Ananya,Sales,Manager_Sales,70.0,High,Manager Intervention,Pending,Reviewed by manager,,
EMP08168,Riya,IT,Manager_IT,55.0,Medium,Manager Intervention,Completed,Reviewed by manager,No Change,2025-12-02 18:05:59.642098
EMP04627,Diya,Engineering,Manager_Engineering,67.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP13317,Vivaan,IT,Manager_IT,46.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP10818,Kabir,Marketing,Manager_Marketing,57.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP14284,Kabir,Finance,Manager_Finance,64.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP08119,Riya,Marketing,Manager_Marketing,43.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP04850,Arjun,Engineering,Manager_Engineering,63.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP10715,Neha,Operations,Manager_Operations,71.0,High,Career Discussion,In Progress,Reviewed by manager,,
EMP11046,Vivaan,IT,Manager_IT,72.0,High,Manager Intervention,Completed,Reviewed by manager,No Change,2025-12-06 18:05:59.664494
EMP09183,Ananya,HR,Manager_HR,67.0,Medium,Manager Intervention,Completed,Reviewed by manager,No Change,2025-11-03 18:05:59.665533
EMP10495,Neha,HR,Manager_HR,41.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP06155,Aditya,Engineering,Manager_Engineering,50.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP03580,Arjun,Operations,Manager_Operations,73.0,High,Manager Intervention,Completed,Reviewed by manager,Improved,2025-12-07 18:05:59.668796
EMP14369,Diya,IT,Manager_IT,68.0,Medium,Retention Bonus,Completed,Reviewed by manager,No Change,2025-12-01 18:05:59.669792
EMP00539,Arjun,Marketing,Manager_Marketing,47.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP14050,Ishaan,Marketing,Manager_Marketing,57.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP00227,Arjun,Customer Support,Manager_Customer Support,59.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP10333,Aditya,Customer Support,Manager_Customer Support,54.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP03219,Kabir,Sales,Manager_Sales,52.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP08205,Riya,HR,Manager_HR,66.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-10-16 18:05:59.675883
EMP09689,Diya,Operations,Manager_Operations,50.0,Medium,Manager Intervention,Completed,Reviewed by manager,No Change,2025-10-04 18:05:59.677001
EMP10442,Vihaan,Sales,Manager_Sales,46.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP02216,Riya,Marketing,Manager_Marketing,59.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP03900,Kabir,Engineering,Manager_Engineering,48.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP13582,Rahul,Sales,Manager_Sales,68.0,Medium,Manager Intervention,Completed,Reviewed by manager,No Change,2025-12-26 18:05:59.681532
EMP02863,Kabir,Engineering,Manager_Engineering,47.0,Medium,Retention Bonus,Completed,Reviewed by manager,No Change,2025-12-04 18:05:59.682700
EMP00596,Aarav,Finance,Manager_Finance,70.0,High,Retention Bonus,Completed,Reviewed by manager,Improved,2025-11-02 18:05:59.683722
EMP03477,Rahul,HR,Manager_HR,55.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP11824,Kabir,Finance,Manager_Finance,54.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-12-20 18:05:59.685748
EMP10637,Riya,Marketing,Manager_Marketing,52.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP04731,Vihaan,Finance,Manager_Finance,63.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP01647,Neha,Sales,Manager_Sales,59.0,Medium,Manager Intervention,Completed,Reviewed by manager,No Change,2025-09-19 18:05:59.689081
EMP06332,Aditya,Finance,Manager_Finance,62.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP14869,Ananya,Engineering,Manager_Engineering,77.0,High,Retention Bonus,Pending,Reviewed by manager,,
EMP06906,Aarav,HR,Manager_HR,50.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP04220,Aarav,Sales,Manager_Sales,40.0,Medium,Retention Bonus,Completed,Reviewed by manager,No Change,2025-12-08 18:05:59.693843
EMP00577,Diya,IT,Manager_IT,47.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP03014,Rahul,Finance,Manager_Finance,67.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP03717,Vihaan,IT,Manager_IT,73.0,High,Manager Intervention,In Progress,Reviewed by manager,,
EMP01782,Aarav,Marketing,Manager_Marketing,45.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP04791,Vihaan,Operations,Manager_Operations,83.0,High,Retention Bonus,In Progress,Reviewed by manager,,
EMP01283,Vihaan,Customer Support,Manager_Customer Support,48.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-10-02 18:05:59.699999
EMP04990,Ananya,Customer Support,Manager_Customer Support,41.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-10-09 18:05:59.701028
EMP08320,Vihaan,IT,Manager_IT,53.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP11506,Aditya,Engineering,Manager_Engineering,67.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP07970,Arjun,Finance,Manager_Finance,65.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP06051,Aditya,Marketing,Manager_Marketing,56.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-12-31 18:05:59.705537
EMP11028,Ananya,IT,Manager_IT,41.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP11299,Rahul,Marketing,Manager_Marketing,59.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP06578,Diya,Sales,Manager_Sales,58.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP07648,Aarav,IT,Manager_IT,55.0,Medium,Retention Bonus,Completed,Reviewed by manager,Improved,2025-12-09 18:05:59.709657
EMP01859,Aarav,Engineering,Manager_Engineering,43.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP03572,Ishaan,Sales,Manager_Sales,52.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP06666,Riya,Customer Support,Manager_Customer Support,46.0,Medium,Manager Intervention,Completed,Reviewed by manager,No Change,2025-12-07 18:05:59.714772
EMP04057,Kabir,Finance,Manager_Finance,61.0,Medium,Retention Bonus,Completed,Reviewed by manager,Improved,2025-09-22 18:05:59.716261
