EmployeeID,Name,Department,Role,Tenure,JobSatisfaction,WorkLifeBalance,ManagerSupport,CareerGrowth,StressLevel,AttritionRisk,RiskBand
EMP00001,Neha,Engineering,Software Engineer,1.9,5,3,5,5,2,27.0,Low
EMP00002,Vivaan,Finance,Accountant,0.7,3,3,5,4,3,42.0,Medium
EMP00003,Vihaan,Operations,Operations Executive,0.1,2,4,2,4,5,61.0,Medium
EMP00004,Riya,IT,IT Support,3.8,2,5,4,1,1,50.0,Medium
EMP00005,Rahul,IT,IT Support,3.0,2,4,4,3,4,54.0,Medium
EMP00006,Kabir,IT,System Admin,2.9,1,3,5,3,5,60.0,Medium
EMP00007,Neha,Sales,Sales Executive,2.4,2,4,1,4,2,56.0,Medium
EMP00008,Neha,Engineering,Senior Engineer,1.9,2,5,2,4,4,55.0,Medium
EMP00009,Riya,Operations,Operations Executive,2.3,4,5,3,1,4,55.0,Medium
EMP00010,Vihaan,Finance,Financial Analyst,0.8,4,2,2,4,5,59.0,Medium
EMP00011,Ishaan,HR,HR Manager,14.0,2,4,2,2,4,66.0,Medium
EMP00012,Rahul,Sales,Sales Executive,3.6,4,1,5,5,2,37.0,Low
EMP00013,Vihaan,Finance,Accountant,3.1,2,1,4,4,4,59.0,Medium
EMP00014,Aditya,Engineering,Senior Engineer,1.3,5,5,1,1,1,50.0,Medium
EMP00015,Vihaan,HR,HR Manager,5.9,4,3,3,1,3,58.0,Medium
EMP00016,Ananya,IT,System Admin,6.2,3,5,2,2,1,50.0,Medium
EMP00017,Diya,HR,HR Manager,9.9,1,4,2,1,5,77.0,High
EMP00018,Aarav,HR,HR Manager,5.2,3,3,1,3,5,68.0,Medium
EMP00019,Vihaan,HR,HR Manager,14.3,3,1,5,2,3,56.0,Medium
EMP00020,Ananya,Finance,Accountant,3.0,2,2,4,5,3,49.0,Medium
EMP00021,Vihaan,Finance,Financial Analyst,0.1,1,4,5,4,5,53.0,Medium
EMP00022,Diya,Sales,Sales Executive,1.1,5,3,5,4,5,40.0,Medium
EMP00023,Ananya,Engineering,Software Engineer,0.3,3,3,4,2,2,51.0,Medium
EMP00024,Neha,Operations,Operations Manager,6.6,1,5,4,4,4,51.0,Medium
EMP00025,Kabir,Marketing,Marketing Manager,0.8,3,2,4,1,1,55.0,Medium
EMP00026,Ishaan,Engineering,Software Engineer,1.3,3,1,4,5,1,42.0,Medium
EMP00027,Aarav,HR,HR Manager,1.5,3,1,5,1,3,60.0,Medium
EMP00028,Rahul,Finance,Accountant,1.3,3,1,4,1,1,58.0,Medium
EMP00029,Vivaan,Operations,Operations Executive,1.2,4,2,3,1,5,67.0,Medium
EMP00030,Ishaan,Customer Support,Support Executive,1.3,1,3,1,2,2,71.0,High
EMP00031,Kabir,Marketing,Marketing Manager,2.1,5,1,1,3,2,57.0,Medium
EMP00032,Ananya,Customer Support,Support Lead,3.0,2,4,3,3,1,49.0,Medium
EMP00033,Aarav,Finance,Financial Analyst,5.2,5,4,2,3,1,41.0,Medium
EMP00034,Aarav,Engineering,Tech Lead,0.7,3,5,3,4,4,47.0,Medium
EMP00035,Diya,IT,IT Support,4.5,3,2,3,3,4,60.0,Medium
EMP00036,Aarav,Finance,Accountant,4.1,4,1,1,2,1,62.0,Medium
EMP00037,Kabir,HR,HR Executive,4.5,1,1,2,2,3,76.0,High
EMP00038,Ananya,Engineering,Tech Lead,1.0,2,1,4,4,1,50.0,Medium
EMP00039,Vivaan,Marketing,Marketing Analyst,1.1,4,5,5,3,1,30.0,Low
EMP00040,Arjun,Customer Support,Support Executive,1.3,3,3,4,1,4,61.0,Medium
